CD_STAT_SECTOR,prop_type,total_sales
11057A00-,apartments,124
11057A010,apartments,74
11057A02-,apartments,26
11057A03-,apartments,6
11057A10-,apartments,6
11057A110,apartments,23
11057B00-,apartments,104
11057B02-,apartments,25
11057B04-,apartments,20
11057B0MA,apartments,1
11057B233,apartments,1
11057B32-,apartments,4
11057_UNKNOWN,apartments,6
12002A001,apartments,27
12002A012,apartments,34
12002A023,apartments,67
12002A0PB,apartments,1
12002A200,apartments,28
12002A300,apartments,32
12002A3MA,apartments,4
12002_UNKNOWN,apartments,5
12005A000,apartments,74
12005A02-,apartments,2
12005A100,apartments,35
12005A190,apartments,2
12005B00-,apartments,7
12005B01-,apartments,3
12005B022,apartments,1
12005B18-,apartments,1
12007A001,apartments,185
12007A01-,apartments,36
12007A021,apartments,129
12007A032,apartments,7
12007A043,apartments,13
12007A052,apartments,2
12007A09-,apartments,10
12007A100,apartments,21
12007A122,apartments,8
12007B00-,apartments,26
12007B100,apartments,40
12007C00-,apartments,20
12007C01-,apartments,15
12007D00-,apartments,2
12007D09-,apartments,1
12007_UNKNOWN,apartments,6
12009A000,apartments,103
12009A012,apartments,32
12009A023,apartments,27
12009A031,apartments,45
12009A041,apartments,6
12009A054,apartments,6
12009A0PA,apartments,6
12009A10-,apartments,26
12009A200,apartments,89
12009A211,apartments,1
12009A221,apartments,67
12009A282,apartments,1
12009A313,apartments,43
12009_UNKNOWN,apartments,8
12014A001,apartments,58
12014A01-,apartments,76
12014A022,apartments,118
12014A033,apartments,84
12014A042,apartments,1
12014A053,apartments,56
12014A0MB,apartments,3
12014A30-,apartments,25
12014A391,apartments,1
12014A50-,apartments,42
12014A522,apartments,1
12014B000,apartments,27
12014C00-,apartments,35
12014C01-,apartments,17
12014C022,apartments,1
12014C091,apartments,1
12014D001,apartments,16
12014D010,apartments,4
12014E001,apartments,85
12014E01-,apartments,10
12014E10-,apartments,14
12014E11-,apartments,1
12014F000,apartments,26
12014F10-,apartments,1
12014_UNKNOWN,apartments,4
12021A00-,apartments,142
12021A01-,apartments,56
12021A02-,apartments,119
12021A03-,apartments,206
12021A04-,apartments,8
12021A051,apartments,114
12021A101,apartments,183
12021A132,apartments,32
12021A18-,apartments,6
12021A19-,apartments,5
12021A200,apartments,123
12021A212,apartments,58
12021A291,apartments,2
12021A301,apartments,218
12021A311,apartments,9
12021A322,apartments,39
12021A333,apartments,22
12021A342,apartments,41
12021A353,apartments,2
12021A40-,apartments,160
12021A411,apartments,54
12021A473,apartments,1
