CD_STAT_SECTOR,CD_YEAR,MS_P75
12025A06-,2023,289000.0
12025A10-,2023,325000.0
12025A11-,2023,347000.0
12025A12-,2023,466500.0
12025A12-,2023,466500.0
12025A20-,2023,347800.0
12025A20-,2023,347800.0
12025A21-,2023,399500.0
12025A21-,2023,420000.0
12025A22-,2023,355000.0
12025A22-,2023,355000.0
12025A301,2023,401500.0
12025A301,2023,401500.0
12025A332,2023,370000.0
12025A332,2023,370000.0
12025A401,2023,366000.0
12025A401,2023,366000.0
12025A401,2023,420000.0
12025A42-,2023,505000.0
12025A42-,2023,505000.0
12025A462,2023,505000.0
12025A462,2023,505000.0
12025A50-,2023,363500.0
12025A50-,2023,365500.0
12025A521,2023,370000.0
12025A521,2023,370000.0
12025A620,2023,354500.0
12025A620,2023,354500.0
12025A620,2023,229500.0
12025A662,2023,355000.0
12025A662,2023,347500.0
12025A690,2023,591500.0
12025A70-,2023,320000.0
12025A70-,2023,320000.0
12025A912,2023,239500.0
12025A921,2023,390000.0
12025A921,2023,390000.0
12025A921,2023,395000.0
12025A942,2023,430000.0
12025A942,2023,430000.0
12025F00-,2023,369000.0
12026A01-,2023,427500.0
12026A040,2023,399000.0
12026A040,2023,460000.0
12026A040,2023,340000.0
12026A111,2023,421967.0
12026A122,2023,360000.0
12026A122,2023,375000.0
12026C000,2023,389000.0
12026C000,2023,389500.0
12026C10-,2023,350000.0
12026C112,2023,476000.0
12029A00-,2023,365000.0
12029A00-,2023,390000.0
12029A00-,2023,407000.0
12035A110,2023,484000.0
12035A200,2023,350000.0
12035A200,2023,360000.0
12040A01-,2023,295000.0
12040A01-,2023,295000.0
12040A411,2023,290000.0
12040A411,2023,305000.0
12040A422,2023,292000.0
12040A422,2023,332500.0
12040A512,2023,325000.0
12040A512,2023,335000.0
12040A512,2023,306000.0
12040C000,2023,350000.0
12040C000,2023,380000.0
13001A01-,2023,357500.0
13001A230,2023,418500.0
13003A101,2023,367500.0
13003A101,2023,367500.0
13004A101,2023,462500.0
13004A101,2023,462500.0
13008A030,2023,378000.0
13008A030,2023,390000.0
13008A030,2023,270000.0
13008A811,2023,285000.0
13008A900,2023,258000.0
13011A02-,2023,335000.0
13011A02-,2023,335000.0
13011A03-,2023,274000.0
13011A040,2023,295000.0
13011A100,2023,290000.0
13011A100,2023,320000.0
13011A200,2023,420000.0
13012A000,2023,395000.0
13012A000,2023,385000.0
13016A000,2023,465000.0
13016A01-,2023,436000.0
13025A00-,2023,280000.0
13025A01-,2023,425000.0
13025A03-,2023,259000.0
13025A30-,2023,335000.0
13025A30-,2023,326000.0
13025A50-,2023,360000.0
13025A50-,2023,365000.0
13025A60-,2023,284192.0
13025A700,2023,395000.0
13029A000,2023,407500.0
13031A000,2023,362500.0
13031A033,2023,349000.0
13031A033,2023,350000.0
13031A122,2023,740000.0
13031A122,2023,740000.0
13035A00-,2023,249000.0
13035A020,2023,398500.0
13036A000,2023,266000.0
13040A000,2023,325000.0
13040A000,2023,325000.0
13040A000,2023,300500.0
13040A021,2023,430000.0
13040A021,2023,435000.0
13040A031,2023,247500.0
13040A042,2023,222500.0
13040A051,2023,295000.0
13040A051,2023,295000.0
13040A100,2023,360000.0
13040A100,2023,407757.0
13040A112,2023,327500.0
13040A50-,2023,344500.0
13040A50-,2023,344500.0
13040A601,2023,241000.0
13040A613,2023,288000.0
13040A613,2023,288000.0
13040A613,2023,270000.0
13040A622,2023,197500.0
13040A700,2023,300000.0
13040A700,2023,335000.0
13040A700,2023,320000.0
13040A714,2023,285000.0
13040A714,2023,285000.0
13040A721,2023,345000.0
13040A721,2023,345000.0
13044A000,2023,472000.0
13044A000,2023,328000.0
13046A01-,2023,422500.0
13046A11-,2023,435000.0
21001A011,2023,274000.0
21001A120,2023,235000.0
21001A32-,2023,187000.0
21001A41-,2023,207500.0
21001A43-,2023,240937.0
21001A503,2023,201975.0
21001A51-,2023,248000.0
21001A552,2023,300000.0
21001A81-,2023,246500.0
21001A84-,2023,222500.0
21001A941,2023,235000.0
21001B21-,2023,239000.0
21001B25-,2023,229000.0
21002A21-,2023,369000.0
21002A43-,2023,425500.0
21003A02-,2023,280000.0
21003A10-,2023,248000.0
21003A312,2023,520000.0
21003A312,2023,530000.0
21004A02-,2023,346500.0
21004A20-,2023,295000.0
21004A21-,2023,298000.0
21004A23-,2023,433250.0
21004A24-,2023,325000.0
21004A25-,2023,470000.0
21004A32-,2023,410000.0
21004A33-,2023,323875.0
21004A35-,2023,240000.0
21004A811,2023,235000.0
21004A822,2023,295000.0
21004B2MJ,2023,540000.0
21004B421,2023,385000.0
21004B43-,2023,395000.0
21004B44-,2023,342440.0
21004C54-,2023,653500.0
21004C552,2023,550000.0
21004C62-,2023,650000.0
21004C63-,2023,450000.0
21004D631,2023,440000.0
21004D672,2023,179000.0
21004E130,2023,275000.0
21004E14-,2023,300000.0
21004E201,2023,261250.0
21004E222,2023,225000.0
21004E72-,2023,270000.0
21004E73-,2023,297500.0
21004E74-,2023,240000.0
21004E81-,2023,258750.0
21004E83-,2023,250000.0
21004F522,2023,285000.0
21004F531,2023,290000.0
21004F91-,2023,245000.0
21004G30-,2023,424000.0
21004G30-,2023,424000.0
21005A00-,2023,338500.0
21005A01-,2023,290000.0
21005A02-,2023,455000.0
