CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR
21009A22-,300000.0,2023
21009A23-,430000.0,2023
21009A301,315000.0,2023
21009A33-,370000.0,2023
21009A40-,360000.0,2023
21009A41-,225000.0,2023
21009A42-,500000.0,2023
21009A44-,375000.0,2023
21009A451,353750.0,2023
21009A53-,340000.0,2023
21009A542,293000.0,2023
21009A612,298000.0,2023
21009A63-,435000.0,2023
21009A652,400000.0,2023
21009A73-,407500.0,2023
21009A82-,400000.0,2023
21010A00-,259500.0,2023
21010A01-,184000.0,2023
21010A02-,213500.0,2023
21010A03-,224500.0,2023
21010A04-,185250.0,2023
21010A05-,197500.0,2023
21010A10-,203500.0,2023
21010A111,190250.0,2023
21010A13-,152000.0,2023
21010A141,230000.0,2023
21010A1AJ,288000.0,2023
21010A21-,235000.0,2023
21011A01-,175000.0,2023
21011A10-,220000.0,2023
21011A11-,240000.0,2023
21011A12-,240500.0,2023
21011A20-,220000.0,2023
21012A141,200000.0,2023
21012A152,129500.0,2023
21012A20-,215000.0,2023
21012A23-,207000.0,2023
21012A24-,185000.0,2023
21012A26-,207500.0,2023
21012A30-,208500.0,2023
21012A50-,251500.0,2023
21012A511,165000.0,2023
21012A52-,205000.0,2023
21012A54-,190000.0,2023
21012A552,210000.0,2023
21012A60-,234000.0,2023
21012A62-,202000.0,2023
21012A822,232500.0,2023
21012A84-,202500.0,2023
21012A882,245000.0,2023
21013A02-,281000.0,2023
21013A052,285000.0,2023
21013A22-,265000.0,2023
21013A41-,322500.0,2023
21013A422,222525.0,2023
21014A00-,190000.0,2023
21014A03-,231250.0,2023
21014A05-,189000.0,2023
21015A00-,220000.0,2023
21015A12-,231500.0,2023
21015A152,200000.0,2023
21015A20-,260000.0,2023
21015A24-,255000.0,2023
21015A30-,280000.0,2023
21015A32-,205000.0,2023
21015A36-,296000.0,2023
21015A43-,254000.0,2023
21015A50-,275000.0,2023
21015A51-,270000.0,2023
21015A52-,315000.0,2023
21015A53-,246407.0,2023
21015A54-,301000.0,2023
21015A63-,250000.0,2023
21015A70-,210000.0,2023
21015A71-,263500.0,2023
21015A73-,330000.0,2023
21015A831,232500.0,2023
21016A00-,293500.0,2023
21016A01-,549000.0,2023
21016A01-,550000.0,2023
21016A01-,310000.0,2023
21016A02-,252000.0,2023
21016A03-,369000.0,2023
21016A05-,272500.0,2023
21016A111,615000.0,2023
21016A12-,432000.0,2023
21016A342,1623000.0,2023
21016A342,1525000.0,2023
21016A400,500000.0,2023
21016A400,500000.0,2023
21016A44-,300000.0,2023
21016A701,219000.0,2023
21016A80-,355000.0,2023
21016A81-,322500.0,2023
21016A82-,412500.0,2023
21016A831,1125000.0,2023
21016A831,307000.0,2023
21016A85-,360000.0,2023
21016A901,237500.0,2023
21016A933,320000.0,2023
21017A212,427000.0,2023
21017A523,310000.0,2023
21017A624,285000.0,2023
21018A00-,342000.0,2023
