CD_STAT_SECTOR,CD_TYPE_FR_RENAMED,MS_TRANSACTIONS
11002S31-,all houses,317
11002S31-,apartments,110
11002S41-,2-3 facades house,156
11002S41-,all houses,156
11002S41-,apartments,151
11002S42-,2-3 facades house,73
11002S42-,all houses,73
11002S42-,apartments,499
11002S43-,2-3 facades house,100
11002S43-,4 or + facades house,1
11002S43-,all houses,101
11002S43-,apartments,146
11002T00-,2-3 facades house,291
11002T00-,all houses,291
11002T00-,apartments,186
11002T01-,2-3 facades house,255
11002T01-,all houses,255
11002T01-,apartments,61
11002T02-,2-3 facades house,63
11002T02-,all houses,63
11002T02-,apartments,81
11002T03-,2-3 facades house,262
11002T03-,all houses,262
11002T03-,apartments,148
11002T04-,2-3 facades house,67
11002T04-,all houses,67
11002T04-,apartments,379
11002T05-,2-3 facades house,191
11002T05-,all houses,191
11002T05-,apartments,176
11002T09-,apartments,65
11002T10-,2-3 facades house,155
11002T10-,all houses,155
11002T10-,apartments,254
11002T111,2-3 facades house,29
11002T111,4 or + facades house,13
11002T111,all houses,42
11002T111,apartments,1339
11002T12-,2-3 facades house,86
11002T12-,all houses,86
11002T12-,apartments,207
11002T13-,2-3 facades house,153
11002T13-,all houses,153
11002T13-,apartments,324
11002T14-,2-3 facades house,143
11002T14-,4 or + facades house,6
11002T14-,all houses,149
11002T14-,apartments,337
11002T180,2-3 facades house,3
11002T180,all houses,3
11002T180,apartments,107
11002T20-,2-3 facades house,116
11002T20-,all houses,116
11002T20-,apartments,690
11002T21-,2-3 facades house,147
11002T21-,all houses,147
11002T21-,apartments,80
11002T22-,2-3 facades house,215
11002T22-,all houses,215
11002T22-,apartments,95
11002T23-,2-3 facades house,175
11002T23-,all houses,175
11002T23-,apartments,50
11002T24-,2-3 facades house,73
11002T24-,4 or + facades house,2
11002T24-,all houses,75
11002T24-,apartments,57
11002T25-,2-3 facades house,5
11002T25-,all houses,5
11002T30-,2-3 facades house,166
11002T30-,all houses,166
11002T30-,apartments,90
11002T39-,2-3 facades house,3
11002T39-,4 or + facades house,1
11002T39-,all houses,4
11002T412,2-3 facades house,6
11002T412,all houses,6
11002T412,apartments,566
11002T42-,2-3 facades house,78
11002T42-,all houses,78
11002T42-,apartments,332
11002U00-,2-3 facades house,200
11002U00-,all houses,200
11002U00-,apartments,449
11002U01-,2-3 facades house,203
11002U01-,4 or + facades house,5
11002U01-,all houses,208
11002U01-,apartments,163
11002U02-,2-3 facades house,277
11002U02-,4 or + facades house,8
11002U02-,all houses,285
11002U02-,apartments,174
11002U03-,2-3 facades house,273
11002U03-,4 or + facades house,3
11002U03-,all houses,276
11002U03-,apartments,107
11002U09-,2-3 facades house,5
11002U09-,4 or + facades house,2
11002U09-,all houses,7
11002U10-,2-3 facades house,207
11002U10-,4 or + facades house,12
11002U10-,all houses,219
11002U10-,apartments,446
11002U11-,2-3 facades house,124
11002U11-,4 or + facades house,65
11002U11-,all houses,189
11002U11-,apartments,137
11002U20-,2-3 facades house,365
11002U20-,4 or + facades house,3
11002U20-,all houses,368
11002U20-,apartments,518
11002U21-,2-3 facades house,369
11002U21-,all houses,369
11002U21-,apartments,206
11002U22-,2-3 facades house,46
11002U22-,all houses,46
11002U22-,apartments,156
11002U30-,2-3 facades house,204
11002U30-,all houses,204
11002U30-,apartments,482
11002U31-,2-3 facades house,167
11002U31-,all houses,167
11002U31-,apartments,75
11002U32-,2-3 facades house,56
11002U32-,4 or + facades house,130
11002U32-,all houses,186
11002U32-,apartments,11
11002U33-,2-3 facades house,88
11002U33-,4 or + facades house,22
11002U33-,all houses,110
11002U33-,apartments,524
11002U40-,2-3 facades house,150
11002U40-,all houses,150
11002U40-,apartments,183
11002U41-,2-3 facades house,32
11002U41-,4 or + facades house,8
11002U41-,all houses,40
11002U41-,apartments,64
11002U43-,2-3 facades house,25
11002U43-,all houses,25
11002U43-,apartments,160
11002U47-,2-3 facades house,13
11002U47-,all houses,13
11002U47-,apartments,31
11002U57-,2-3 facades house,24
11002U57-,all houses,24
11002U57-,apartments,6
11002U60-,2-3 facades house,43
11002U60-,4 or + facades house,10
11002U60-,all houses,53
11002U69-,4 or + facades house,2
11002U69-,all houses,2
11002V00-,2-3 facades house,128
11002V00-,all houses,128
11002V00-,apartments,145
11002V01-,2-3 facades house,253
11002V01-,4 or + facades house,6
11002V01-,all houses,259
11002V01-,apartments,216
11002V02-,2-3 facades house,111
11002V02-,all houses,111
11002V02-,apartments,6
11002V03-,2-3 facades house,149
11002V03-,all houses,149
11002V03-,apartments,46
11002V04-,2-3 facades house,95
11002V04-,all houses,95
11002V04-,apartments,82
11002V05-,2-3 facades house,312
11002V05-,all houses,312
11002V05-,apartments,54
11002V099,2-3 facades house,2
11002V099,all houses,2
11002V10-,2-3 facades house,453
11002V10-,all houses,453
11002V10-,apartments,420
11002V11-,2-3 facades house,286
11002V11-,all houses,286
11002V11-,apartments,382
11002V12-,2-3 facades house,29
11002V12-,all houses,29
11002V12-,apartments,163
11002V13-,2-3 facades house,304
11002V13-,all houses,304
11002V13-,apartments,264
11002V14-,2-3 facades house,291
11002V14-,all houses,291
11002V14-,apartments,107
11002V19-,2-3 facades house,5
11002V19-,all houses,5
11002V19-,apartments,22
11002V20-,2-3 facades house,157
11002V20-,4 or + facades house,3
11002V20-,all houses,160
11002V20-,apartments,185
11002V21-,2-3 facades house,14
11002V21-,all houses,14
11002V21-,apartments,17
11002V22-,2-3 facades house,179
11002V22-,all houses,179
11002V22-,apartments,41
11002V23-,2-3 facades house,217
11002V23-,4 or + facades house,13
11002V23-,all houses,230
11002V23-,apartments,108
11002V301,2-3 facades house,593
11002V301,all houses,593
11002V301,apartments,44
11002V312,2-3 facades house,134
11002V312,4 or + facades house,1
11002V312,all houses,135
11002V312,apartments,74
11002V322,2-3 facades house,164
11002V322,4 or + facades house,20
11002V322,all houses,184
11002V322,apartments,50
11002V373,4 or + facades house,1
11002V373,all houses,1
11002V373,apartments,1
11002_UNKNOWN,2-3 facades house,151
11002_UNKNOWN,4 or + facades house,15
11002_UNKNOWN,all houses,166
11002_UNKNOWN,apartments,206
11004A00-,2-3 facades house,85
11004A00-,4 or + facades house,6
11004A00-,all houses,91
11004A00-,apartments,70
11004A01-,2-3 facades house,46
11004A01-,4 or + facades house,7
11004A01-,all houses,53
11004A01-,apartments,65
11004A02-,2-3 facades house,25
11004A02-,4 or + facades house,25
11004A02-,all houses,50
11004A02-,apartments,1
11004A03-,2-3 facades house,91
11004A03-,4 or + facades house,4
11004A03-,all houses,95
11004A03-,apartments,37
11004A081,2-3 facades house,6
11004A081,4 or + facades house,29
11004A081,all houses,35
11004A09-,2-3 facades house,14
11004A09-,4 or + facades house,3
11004A09-,all houses,17
11004A10-,2-3 facades house,83
11004A10-,4 or + facades house,15
11004A10-,all houses,98
11004A10-,apartments,92
11004A18-,2-3 facades house,2
11004A18-,4 or + facades house,2
11004A18-,all houses,4
11004A19-,2-3 facades house,20
11004A19-,4 or + facades house,36
11004A19-,all houses,56
11004A19-,apartments,51
11004A21-,2-3 facades house,43
11004A21-,4 or + facades house,13
11004A21-,all houses,56
11004A21-,apartments,59
11004A220,2-3 facades house,132
11004A220,4 or + facades house,13
11004A220,all houses,145
11004A220,apartments,157
11004A23-,2-3 facades house,20
11004A23-,4 or + facades house,43
11004A23-,all houses,63
11004A23-,apartments,4
11004A242,2-3 facades house,18
11004A242,4 or + facades house,6
11004A242,all houses,24
11004A242,apartments,11
11004A29-,2-3 facades house,3
11004A29-,4 or + facades house,12
11004A29-,all houses,15
11004B000,2-3 facades house,74
11004B000,4 or + facades house,19
11004B000,all houses,93
11004B000,apartments,27
11004B010,2-3 facades house,8
11004B010,4 or + facades house,13
11004B010,all houses,21
11004B022,2-3 facades house,9
11004B022,4 or + facades house,4
11004B022,all houses,13
11004B081,2-3 facades house,13
11004B081,4 or + facades house,15
11004B081,all houses,28
11004B090,2-3 facades house,9
11004B090,4 or + facades house,3
11004B090,all houses,12
11004B19-,4 or + facades house,3
11004B19-,all houses,3
11004_UNKNOWN,2-3 facades house,14
11004_UNKNOWN,4 or + facades house,17
11004_UNKNOWN,all houses,31
11004_UNKNOWN,apartments,3
11005A00-,2-3 facades house,81
11005A00-,all houses,81
11005A00-,apartments,352
11005A01-,2-3 facades house,355
11005A01-,all houses,355
11005A01-,apartments,100
11005A02-,2-3 facades house,106
11005A02-,4 or + facades house,15
11005A02-,all houses,121
11005A02-,apartments,48
11005A03-,2-3 facades house,97
11005A03-,all houses,97
11005A03-,apartments,147
11005A04-,2-3 facades house,289
11005A04-,all houses,289
11005A04-,apartments,40
11005A051,2-3 facades house,46
11005A051,4 or + facades house,3
11005A051,all houses,49
11005A051,apartments,6
11005A072,2-3 facades house,14
11005A072,4 or + facades house,1
11005A072,all houses,15
11005A093,2-3 facades house,12
11005A093,all houses,12
11005A093,apartments,10
11005A10-,2-3 facades house,186
11005A10-,all houses,186
11005A10-,apartments,33
11005A184,2-3 facades house,9
11005A184,all houses,9
11005A191,2-3 facades house,10
11005A191,all houses,10
11005A191,apartments,10
11005A20-,2-3 facades house,164
11005A20-,4 or + facades house,1
11005A20-,all houses,165
11005A20-,apartments,34
11005A211,2-3 facades house,314
11005A211,4 or + facades house,20
11005A211,all houses,334
11005A211,apartments,63
11005A22-,2-3 facades house,99
11005A22-,4 or + facades house,9
11005A22-,all houses,108
11005A22-,apartments,4
11005A232,2-3 facades house,119
11005A232,all houses,119
11005A232,apartments,17
11005A242,2-3 facades house,33
11005A242,all houses,33
11005A242,apartments,25
11005A25-,4 or + facades house,24
11005A25-,all houses,24
11005A30-,2-3 facades house,251
11005A30-,4 or + facades house,4
11005A30-,all houses,255
11005A30-,apartments,158
11005_UNKNOWN,2-3 facades house,15
11005_UNKNOWN,all houses,15
11005_UNKNOWN,apartments,6
11007A00-,2-3 facades house,84
11007A00-,all houses,84
11007A00-,apartments,73
11007A01-,2-3 facades house,90
11007A01-,4 or + facades house,15
11007A01-,all houses,105
11007A01-,apartments,85
11007A020,2-3 facades house,27
11007A020,4 or + facades house,18
11007A020,all houses,45
11007A020,apartments,2
11007A03-,2-3 facades house,226
11007A03-,4 or + facades house,10
11007A03-,all houses,236
