CD_SECTOR;POPULATION;TX_DESCR_SECTOR_FR
D19-;65;ALLIERS HEIDE
D29-;3;BRITSE BASIS
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
10PQ;0;OUDE NETE-ARM
A01-;604;KLEINE LANDEIGENDOM
A02-;1329;STEENBERGHOEK
A032;170;MORENHOEK
A080;195;STEENBAKKERIJEN
A091;559;AUTOSNELWEG
A0ON;1408;RUMST-CENTRUM
A10-;476;VOSBERG
A19-;691;LAZERNIJ - HOGE VOSBERG
B00-;1178;TERHAGEN-KERN
B01-;844;1 MEI-BUURT
B022;407;MOLLEVELD
B091;362;STEENBAKKERIJEN
C000;1180;REET-CENTRUM
C010;800;REET-DORP-NOORD
C022;813;CLEMENSHOEK
C081;172;REET-VERSPR. BEW.-ZUIDWEST
C090;529;MORENHOEK - BEURS
C100;1239;DE VAART
C110;417;PREDIKHERENHOEVE
C12-;855;TURKIJE
C180;138;PIERSTRAAT
C19-;367;GROTE PAEPENDAELEN
C20-;292;STATIE
