CD_STAT_SECTOR,prop_type,total_sales
11016A101,2-3 facades house,52
11016A112,2-3 facades house,84
11016A191,2-3 facades house,5
11016A200,2-3 facades house,69
11016A273,2-3 facades house,1
11016A281,2-3 facades house,3
11016A291,2-3 facades house,2
11016A300,2-3 facades house,24
11016A391,2-3 facades house,1
11016A401,2-3 facades house,68
11016A412,2-3 facades house,48
11016A501,2-3 facades house,162
11016A592,2-3 facades house,3
11016A60-,2-3 facades house,3
11016A691,2-3 facades house,4
11016_UNKNOWN,2-3 facades house,8
11018A000,2-3 facades house,84
11018A010,2-3 facades house,136
11018A021,2-3 facades house,340
11018A030,2-3 facades house,111
11018A042,2-3 facades house,7
11018A054,2-3 facades house,81
11018A070,2-3 facades house,3
11018A090,2-3 facades house,2
11018A101,2-3 facades house,234
11018A111,2-3 facades house,154
11018A122,2-3 facades house,156
11018A132,2-3 facades house,29
11018A143,2-3 facades house,82
11018A170,2-3 facades house,12
11018A1MJ,2-3 facades house,2
11018_UNKNOWN,2-3 facades house,9
11021A00-,2-3 facades house,212
11021A01-,2-3 facades house,7
11021A02-,2-3 facades house,106
11021A03-,2-3 facades house,54
11021A04-,2-3 facades house,78
11021A052,2-3 facades house,10
11021A062,2-3 facades house,72
11021A19-,2-3 facades house,3
11021_UNKNOWN,2-3 facades house,4
11022A001,2-3 facades house,112
11022A012,2-3 facades house,22
11022A02-,2-3 facades house,40
11022A032,2-3 facades house,86
11022A080,2-3 facades house,2
11022A10-,2-3 facades house,112
11022A11-,2-3 facades house,17
11022A120,2-3 facades house,38
11022A181,2-3 facades house,1
11022A19-,2-3 facades house,2
11022A201,2-3 facades house,41
11022A21-,2-3 facades house,20
11022A22-,2-3 facades house,10
11022A232,2-3 facades house,16
11022A28-,2-3 facades house,1
11022A2AA,2-3 facades house,5
11022A30-,2-3 facades house,38
11022A31-,2-3 facades house,28
11022A322,2-3 facades house,14
11022A382,2-3 facades house,2
11022A39-,2-3 facades house,3
11022A401,2-3 facades house,59
11022A412,2-3 facades house,3
11022A423,2-3 facades house,19
11022A50-,2-3 facades house,4
11022A582,2-3 facades house,1
11022A682,2-3 facades house,4
11022_UNKNOWN,2-3 facades house,17
11023A00-,2-3 facades house,298
11023A01-,2-3 facades house,102
11023A02-,2-3 facades house,124
11023A03-,2-3 facades house,414
11023A04-,2-3 facades house,111
11023A050,2-3 facades house,83
11023A062,2-3 facades house,23
11023A08-,2-3 facades house,6
11023A10-,2-3 facades house,190
11023A11-,2-3 facades house,57
11023A122,2-3 facades house,36
11023A133,2-3 facades house,2
11023A191,2-3 facades house,2
11023A200,2-3 facades house,15
11023A280,2-3 facades house,7
11023B30-,2-3 facades house,148
11023B31-,2-3 facades house,32
11023B32-,2-3 facades house,19
11023B330,2-3 facades house,158
11023B391,2-3 facades house,16
11023B40-,2-3 facades house,121
11023B49-,2-3 facades house,16
11023_UNKNOWN,2-3 facades house,13
11024A00-,2-3 facades house,302
11024A01-,2-3 facades house,166
11024A02-,2-3 facades house,130
11024A03-,2-3 facades house,67
11024A04-,2-3 facades house,198
11024A05-,2-3 facades house,5
11024A09-,2-3 facades house,2
11024A10-,2-3 facades house,100
11024A111,2-3 facades house,34
11024A132,2-3 facades house,38
11024A191,2-3 facades house,15
11024A200,2-3 facades house,173
11024A210,2-3 facades house,70
11024A220,2-3 facades house,111
11024A280,2-3 facades house,4
11024A291,2-3 facades house,10
11024A30-,2-3 facades house,28
11024A412,2-3 facades house,6
11024A423,2-3 facades house,46
11024B00-,2-3 facades house,75
11024B012,2-3 facades house,11
11024B08-,2-3 facades house,6
11024B190,2-3 facades house,4
11024_UNKNOWN,2-3 facades house,15
11025A000,2-3 facades house,151
11025A01-,2-3 facades house,128
11025A02-,2-3 facades house,129
11025A042,2-3 facades house,40
11025A053,2-3 facades house,17
11025A08-,2-3 facades house,3
11025A091,2-3 facades house,18
11025A184,2-3 facades house,7
