CD_SECTOR;TOTAL;TX_DESCR_SECTOR_FR
11008A32-;395;BELLENHOF
11008A332;609;DUREN TIJD
11008A381;287;DE MIK
11008A3MB;514;GROOT SCHIETVELD
11008A3PB;181;KAMP VAN BRASSCHAAT
11008A40-;3042;MARIABURG
11008A49-;1333;LEENHEIDE - KATERHEIDE
11008A500;1203;VRIESDONK
11008A510;1943;TER BORCHT - VOSHOL
11008A59-;9;PEERDSBOS
11008ZZZZ;16;Non localisable dans un secteur
11009A00K;2663;BRECHT-KERN
11009A01K;382;HEIKEN (BRECHT)
11009A02-;35;BEEKHOVEN
11009A03-;101;PAPBOS
11009A04K;654;HENSEL
11009A0AD;312;STEEGHOVEN
11009A0MC;100;DE RING
11009A0PK;362;HOEK
11009A0PL;571;PLOEGSDIJK - EYNDOVENSTEENWEG
11009A0QC;217;STAPELHEIDE - NOLLEKENS
11009A20-;1650;HET VEEN
11009A21K;1412;KAMBEENHEIDE
11009A22K;2050;HOGE HEIDE
11009A281;8;DE MEREL
11009A29-;17;VRAAGHEIDE
11009A30-;459;OVERBROEK
11009A38-;96;KREKELBERG
11009A3AB;840;NIEUWE ROMMERSHEIDE
11009A3PB;419;HORST - SCHOORDIJK - MEREYT
11009A49-;272;BRECHTSE HEIDE
11009A59-;0;GROOT SCHIETVELD
11009A5AK;2303;ROMMERSHEIDE - LAKVEN
11009A5PK;48;NOTTEBOHM
11009B00-;1827;SINT-LENAARTS-CENTRUM
11009B01K;694;POTHOEK
11009B02-;424;HEIKEN (SINT-LENAARTS)
11009B032;1057;KONINGSSTOEL
11009B08-;532;MOLENHEIKEN
11009B091;247;HENXBROEK-KLOOSTERAKKER-VONDEL
11009B18-;184;EESTER - LABOUREUR - VOGELZANG
11009B19-;527;DE LEEUWERIK
11009B20-;764;GROOT EN KLEIN VEERLE
11009B29-;274;DE HOUW - GALGEVOORT
11009B2MA;32;D'HOEF
11009B2PA;295;VEERLE - VERSPREIDE BEWONING
11009C00-;1030;SINT-JOB-IN-'T-GOOR - CENTRUM
11009C01-;2941;LEEUWERIK
11009C020;2031;ZAND
11009C03K;2526;SINT-JOB-IN-'T-GOOR - NOORD
11009C08-;122;CHRISTUS-KONING
11009C09K;148;SINT-JOB-IN-'T-GOOR - VERSPREIDE BEWONING ZUID
11009ZZZZ;38;Non localisable dans un secteur
11013A00-;1800;EDEGEM-CENTRUM
11013A01-;1238;MUSSENBURG
11013A02-;4193;BUIZEGEM
11013A03-;668;POSDIJK
11013A040;2029;BOERENLEGER
11013A050;1606;GRIJPEGEM
11013A090;1;HOF TER LINDEN
11013A101;3813;EEKHOF - ST.JOZEF
11013A11-;712;ELSDONK
11013A12-;453;VERBRANDE HOEVE
11013A132;2170;MOLENVELD
11013A142;2386;AAN DE HOEVE
11013A181;25;MOLENVELD-ZUID
11013A19-;158;DRIE EIKEN
11013A20-;1520;TER BEKE
11013A21-;728;ROZENHOF
11013ZZZZ;2;Non localisable dans un secteur
11016A000;1141;ESSEN-CENTRUM
11016A01K;1012;HEUVEL
11016A021;590;KLOOSTERSTRAAT-OOST
11016A042;1789;HONDSBERG
11016A052;1035;DE VENNEN - DE WERF
11016A091;720;SPIJKER - ZANDSTRAAT
11016A101;978;WILDERT-OOST
11016A112;1706;WILDERT-WEST
11016A180;235;VISSENHEUVEL - ZILVEREN HOEK
11016A19K;148;WILDVEN - WATERWINNING
11016A1AJ;655;WILDERT - WEEKENDZONE-OOST
11016A200;1534;HORENDONK
11016A26K;295;WEEKENDZONE - HORENDONKSE BOSSEN
11016A273;51;INDUSTRIEZONE
11016A28K;257;STEENPAAL - HORENDONKSE BOSSEN NOORD
11016A291;390;SCHANKER - SCHAM
11016A300;438;ESSEN - HOEK
11016A39K;147;NOORDENEIND - ROUWMOERHOEF
11016A3AJ;1002;WILDERT - WEEKENDZONE-WEST
11016A401;963;STATION
11016A412;495;VELDWEG
11016A501;3472;HEIKANT
11016A59K;141;HEMELRIJK
11016A59L;104;WILDERTSE DUINTJES
11016A60-;120;KALMTHOUTSE HOEK
11016A691;183;MOLENWIJK - VOORTSE HOEVE
11016ZZZZ;5;Non localisable dans un secteur
11018A000;850;HEMIKSEM-DORP
11018A010;1755;HOOFDBOS
11018A021;2338;HEMIKSEM-CENTRUM
11018A030;1188;VARENVELDEN
11018A042;114;KALLEBEEK
11018A054;965;BOUWERIJVELDEN
11018A070;0;HERBEKE - TERLOCHT
11018A090;5;KASTEEL
11018A10K;1652;HEUVELSTRAAT
11018A111;893;KERKENEINDE
11018A122;1211;SINT-BERNARD
11018A132;362;KERKE BOS
11018A143;535;SCHELSE BOS
11018A170;72;NIJVERHEIDSZONE-OOST
11018A1MJ;487;NIJVERHEIDSZONE - SCHELDE-Z.
11018ZZZZ;1;Non localisable dans un secteur
11021A00-;2108;HOVE-CENTRUM
11021A01-;503;GEELHAND
11021A02-;1295;KLEINE MIJL
11021A03-;567;GRENS EDEGEM
11021A04K;1293;RATTENNEST25
11021A05K;550;FRUITHOUT-ZUID25
11021A06K;1876;VELDKANT25
11021A08K;0;FRUITHOUT25
11021A091;8;VELDKANT-VERSPREIDE BEWONING
11021A19-;162;HOOFSE HOEK
11021ZZZZ;4;Non localisable dans un secteur
11022A001;1504;KALMTHOUT-CENTRUM-OOST
11022A012;1029;KALMTHOUT-CENTRUM-WEST
11022A02-;1065;KIJKUIT-WEST
11022A032;1720;BEZEMHEIDE
11022A080;129;KALMTHOUT-VERSPR. BEW.-OOST
11022A091;26;VOGELENZANG
11022A10-;2022;KALMTHOUT-DORP
11022A11-;638;HEUVEL
11022A120;640;ACHT ZALIGHEDEN
11022A132;313;MERBORETUM-NOORD
11022A181;53;NATUURRESERVAAT
11022A19-;282;DE GREEF
11022A201;1095;OUD-HEIDE
11022A21-;2172;DENNENDAAL
11022A22-;897;GEUZENBAK
11022A232;743;NIEUWE WIJK - HEIDE
11022A28-;55;WITTE  HOEVESEHEIDE
11022A2AA;447;HOLLE KELDER
11022A2MA;51;INDUSTRIE
11022A2PA;0;SCHIETVELD
11022A30-;933;ACHTERBROEK-CENTRUM
11022A31-;374;ACHTERBROEK - WUUSTWEZEL
11022A322;644;HEIKEN-NOORD
11022A382;95;DUFFELAAR
11022A39-;224;HANDELAAR
11022A401;1053;NIEUWMOER-CENTRUM
11022A412;394;HEIKANT - MAATJES
11022A423;416;ZILVERENHOEK
11022A48-;116;MARIJNEVENNEN - MAATJES
11022A49-;236;VENETIE
11022A50-;99;KRUISSTRAAT
11022A582;64;FOKSEMAAT
11022A591;7;STOK 1300 M
11022A682;128;HEIKEN-ZUID
11022A692;47;GROENENDRIES
11022ZZZZ;1;Non localisable dans un secteur
11023A00-;2868;KAPELLEN-CENTRUM
11023A01-;1551;BEUKENHOF
11023A02-;1942;ESSENHOUT - ZILVEREN HOEK
11023A03-;2632;HOEVENSE BAAN
11023A04-;920;BEAULIEU
11023A050;1009;STARRENHOF
11023A062;1141;DENNENBURG
11023A08-;163;KAPELLEN VERSPR. BEW.-WEST
11023A091;26;MIDDELBEEK
11023A10-;1890;PUTTE-CENTRUM
11023A11-;401;ERTBRAND
11023A122;1029;PUTTE-OOST
11023A133;380;RIJMAKERSBOS
11023A191;193;ERTBRAND - FORT
11023A200;2035;KAPELLENBOS-CENTRUM
11023A212;499;GOLF
11023A280;319;WOLVEBOS
11023A291;189;SCHIETVELD
11023B30-;1194;ZILVERENHOEK
11023B31-;1241;HAZELDONK
11023B32-;1661;DE STERRE
11023B330;2027;KLEIN HEIKEN
11023B391;142;VLOEIENDE
11023B40-;2094;HOOGBOOM
11023B49-;422;VERLOREN HOEK - BUNGE
11023ZZZZ;8;Non localisable dans un secteur
11024A00-;3283;KONTICH-CENTRUM
11024A01-;2295;BROEKBEEMDEN - NACHTEGAAL
11024A02-;2318;LIJSTERBOL - KRUISSCHANSLEI
11024A03-;705;TUINWIJK - GROENINGENLEI
11024A04-;1789;ALTENA
11024A05-;266;BLAUWE STEEN
11024A072;19;INDUSTRIETERREIN
11024A09-;88;KONTICH - VERSPR. BEW.-NOORD
11024A10-;778;BOONWIT
11024A111;216;SINT-RITA
11024A132;348;PIERSSTRAAT
11024A142;4;HOGE AARD
11024A191;260;KEIZERSHOEK-RIJKEROOI-VALVEKEN
11024A1MA;72;INDUSTRIEZONE - SATENROZEN
11024A1PA;348;VUILE PLAS - PANNEBOSSEN
11024A200;1987;KONTICH - KAZERNEN
11024A210;1319;NIEUW KONTICH
11024A220;1602;SCHEIHAGEN
11024A280;138;BOUTERSEM - BROEKBOS
11024A291;219;BABBELKROON - DUFFELSE HOEK
11024A30-;308;VERBRANDE HOEVE
11024A412;639;REEP
11024A423;733;WILDVELD
11024A434;130;TANGHOF
11024B00-;968;WAARLOOS-KERN
11024B012;459;KERKEVELDEN
11024B08-;93;TERBEECK
11024B091;236;BEEKBOSHOEK
11024B190;179;DE KEIZERENBERG
