CD_STAT_SECTOR,total_sales_2013_2024
11056B00-,762
11056B01-,581
11056B02-,474
11056B032,48
11056B053,60
11056B072,2
11056B091,54
11056B17-,39
11056B273,21
11056_UNKNOWN,31
11057A00-,254
11057A010,338
11057A02-,202
11057A03-,124
11057A042,56
11057A091,24
11057A10-,186
11057A110,167
11057A132,32
11057A191,8
11057A3MW,2
11057A3PW,58
11057B00-,258
11057B02-,149
11057B04-,138
11057B0MA,7
11057B0PA,102
11057B1PN,4
11057B212,56
11057B22-,96
11057B233,113
11057B314,118
11057B32-,108
11057B335,68
11057_UNKNOWN,68
12002A001,201
12002A012,364
12002A023,379
12002A0AB,70
12002A0PB,123
12002A19-,16
12002A200,222
12002A21-,74
12002A29-,88
12002A300,486
12002A3MA,26
12002A3PA,144
12002_UNKNOWN,45
12005A000,496
12005A01-,316
12005A02-,244
12005A032,94
12005A081,40
12005A091,44
12005A100,393
12005A11-,72
12005A122,42
12005A190,106
12005B00-,181
12005B01-,267
12005B022,13
12005B0PN,36
12005B18-,167
12005B191,22
12005B202,138
12005B291,72
12005B39-,128
12005_UNKNOWN,76
12007A001,923
12007A01-,254
12007A021,523
12007A032,87
12007A043,111
12007A052,82
12007A073,92
12007A081,92
12007A09-,122
12007A100,221
12007A112,100
12007A122,222
12007A183,4
12007A191,52
12007B00-,242
12007B012,104
12007B081,34
12007B09-,78
12007B100,304
12007B20-,86
12007B29-,4
12007B3MA,8
12007B3PA,22
12007C00-,304
12007C01-,119
12007C091,42
12007D00-,48
12007D09-,71
12007_UNKNOWN,116
12009A000,565
12009A012,298
12009A023,305
12009A031,93
12009A041,80
12009A054,58
12009A072,46
12009A0MA,32
12009A0PA,144
12009A10-,172
12009A19-,176
12009A200,589
12009A211,145
12009A221,337
12009A232,26
12009A282,175
12009A293,36
12009A313,335
12009A322,26
12009_UNKNOWN,96
12014A001,224
12014A01-,250
12014A022,314
12014A033,258
12014A042,75
12014A053,238
12014A0MB,99
12014A0PB,78
12014A19-,146
12014A202,60
12014A291,240
12014A30-,123
12014A31-,66
12014A322,112
12014A391,343
12014A49-,54
12014A50-,162
12014A51-,60
12014A522,137
12014A5MA,128
12014A5PA,86
12014B000,285
12014B012,104
12014B023,74
12014B091,120
12014C00-,293
12014C01-,241
12014C022,61
12014C033,64
12014C044,42
12014C091,205
12014C10-,54
12014C19-,172
12014D001,152
12014D010,208
12014D022,50
12014D08-,16
12014D090,52
12014E001,333
12014E01-,102
12014E022,54
12014E032,44
12014E091,96
12014E10-,228
12014E11-,83
12014E122,140
12014E191,194
12014E29-,18
12014F000,164
12014F01-,68
12014F022,64
12014F091,338
12014F10-,51
12014F18-,72
12014F19-,102
12014_UNKNOWN,190
12021A00-,584
