CD_YEAR;CD_SECTOR;MS_AVG_TOT_NET_TAXABLE_INC;TX_SECTOR_DESCR_FR
2023;11004A03-;43833.0;LANGE KROON
2023;11004A081;56010.0;MUSSENHOEVE
2023;11004A09-;50817.0;HOF VAN BOECHOUT
2023;11004A10-;45692.0;'T VOSKE
2023;11004A18-;56013.0;HELLE
2023;11004A19-;51159.0;SMIDJE-VERSPREIDE BEWONING
2023;11004A21-;49083.0;MOLENVELD
2023;11004A220;41090.0;GILLEGOMBUURT
2023;11004A23-;57436.0;SCHALIEHOEVEBUURT
2023;11004A242;57478.0;VOGELWEIDE
2023;11004A29-;48158.0;BOSHOEK
2023;11004B000;49248.0;VREMDE-DORP
2023;11004B010;67190.0;BROECHEMSE STEENWEG
2023;11004B022;53662.0;NIEUWE WIJK
2023;11004B081;55327.0;TOEFFELHOEK
2023;11004B090;;BLOEMENHOF - VREMDERMOLEN
2023;11004B19-;;ACHTERSTE HOEVEN
2023;11004ZZZZ;;NON LOCALISABLE DANS UN SECTEUR
2023;11005A00-;34530.0;BOOM-CENTRUM
2023;11005A01-;31492.0;ADVOKAATSTRAAT
2023;11005A02-;47942.0;DE HOEK
2023;11005A03-;33900.0;BOOM STATION-F. DE SCHUTTERL.
2023;11005A04-;34375.0;NOEVEREN
2023;11005A051;49163.0;SCHOMME
2023;11005A072;;INDUSTRIE
2023;11005A093;34573.0;HOLLEZIJP
2023;11005A10-;40408.0;BOSSTRAAT
2023;11005A184;;RECREATIE
2023;11005A191;52078.0;KLEINE STEYLEN
2023;11005A20-;32838.0;BAREEL-PARK
2023;11005A211;39683.0;WATERTOREN
2023;11005A22-;47863.0;GEBO
2023;11005A232;34348.0;KORTE STRAAT
2023;11005A242;55758.0;QUESELS
2023;11005A25-;58792.0;VOSKEN
2023;11005A30-;31595.0;PERTSGAD
2023;11005ZZZZ;14724.0;NON LOCALISABLE DANS UN SECTEUR
2023;11007A00-;36241.0;BORSBEEK-CENTRUM
2023;11007A01-;41837.0;VOGELZANG
2023;11007A020;54413.0;ACHTERROT
2023;11007A03-;39403.0;VAN PUTLEI
2023;11007A04-;37284.0;OUDE SPRINKHAAN
2023;11007A080;;SCHOENDONK
2023;11007A09-;;FORT 3
2023;11007ZZZZ;;NON LOCALISABLE DANS UN SECTEUR
2023;11008A00-;39150.0;VAGEVUURVELDEN
2023;11008A01-;39270.0;BRASSCHAAT-CENTRUM
2023;11008A020;41676.0;ZAND - HEISLAG
2023;11008A03-;54317.0;FORTUINBEEK
2023;11008A04-;43890.0;KLINIEK
2023;11008A091;;PARK
2023;11008A0AA;67345.0;NEERVELDEN
2023;11008A0BJ;41163.0;HEUVELS - RIETBEEMDEN
2023;11008A0PA;46618.0;TORENHOF - HOF TEN BOS
2023;11008A10-;43537.0;MIDDELKAART
2023;11008A11-;46419.0;LAGE KAART
2023;11008A12-;50115.0;HOGE KAART
2023;11008A19-;68261.0;EIKELENBERG
2023;11008A20-;44731.0;DRIEHOEK
2023;11008A21-;53147.0;BETHANIE
2023;11008A22-;74784.0;MISHAGEN
2023;11008A283;36201.0;HET LEEG - MIKSE HEIDE
2023;11008A29-;;NIEMANDS BEEMDEN
2023;11008A30-;40927.0;MARIA-TER-HEIDE
2023;11008A31-;49791.0;MOLENHEIDE
2023;11008A32-;38921.0;BELLENHOF
2023;11008A332;65239.0;DUREN TIJD
2023;11008A381;29637.0;DE MIK
2023;11008A3MB;54204.0;GROOT SCHIETVELD
2023;11008A3PB;50324.0;KAMP VAN BRASSCHAAT
2023;11008A40-;52900.0;MARIABURG
2023;11008A49-;60995.0;LEENHEIDE - KATERHEIDE
2023;11008A500;64927.0;VRIESDONK
2023;11008A510;91260.0;TER BORCHT - VOSHOL
2023;11008A59-;;PEERDSBOS
2023;11008ZZZZ;13906.0;NON LOCALISABLE DANS UN SECTEUR
2023;11009A000;37594.0;BRECHT-CENTRUM
2023;11009A01-;49240.0;HEIKEN
2023;11009A02-;;BEEKHOVEN
2023;11009A03-;38886.0;PAPBOS
2023;11009A042;49862.0;HENSEL
2023;11009A0AD;29260.0;STEEGHOVEN
2023;11009A0MC;59913.0;DE RING
2023;11009A0PD;39745.0;HOEK - SCHOM
2023;11009A0QC;44870.0;STAPELHEIDE - NOLLEKENS
2023;11009A20-;56400.0;HET VEEN
2023;11009A21-;51131.0;KAMBEENHEIDE
2023;11009A222;54940.0;HOGE HEIDE
2023;11009A281;;DE MEREL
2023;11009A29-;;VRAAGHEIDE
2023;11009A30-;42310.0;OVERBROEK
2023;11009A38-;46439.0;KREKELBERG
2023;11009A3AB;50146.0;NIEUWE ROMMERSHEIDE
2023;11009A3PB;45916.0;HORST - SCHOORDIJK - MEREYT
2023;11009A49-;31921.0;BRECHTSE HEIDE
2023;11009A5AA;46618.0;ROMMERSHEIDE - LAKVEN
2023;11009A5PA;60301.0;NOTTEBOHM
2023;11009B00-;36526.0;SINT-LENAARTS-CENTRUM
2023;11009B01-;45643.0;POTHOEK
2023;11009B02-;37835.0;HEIKEN
2023;11009B032;44992.0;KONINGSSTOEL
2023;11009B08-;44471.0;MOLENHEIKEN
2023;11009B091;40367.0;HENXBROEK-KLOOSTERAKKER-VONDEL
2023;11009B18-;;EESTER - LABOUREUR - VOGELZANG
2023;11009B19-;33725.0;DE LEEUWERIK
2023;11009B20-;38853.0;GROOT EN KLEIN VEERLE
2023;11009B29-;43279.0;DE HOUW - GALGEVOORT
2023;11009B2MA;;D'HOEF
2023;11009B2PA;43635.0;VEERLE - VERSPREIDE BEWONING
2023;11009C00-;46082.0;SINT-JOB-IN-'T GOOR - CENTRUM
2023;11009C01-;45682.0;LEEUWERIK
2023;11009C020;52459.0;ZAND
2023;11009C03-;45645.0;SINT-JOB-IN-'T GOOR - DORP-N.
2023;11009C08-;42051.0;CHRISTUS-KONING
2023;11009C090;56852.0;KLOOSTERVELD-VERSPR. BEW.
2023;11009ZZZZ;14764.0;NON LOCALISABLE DANS UN SECTEUR
2023;11013A00-;43842.0;EDEGEM-CENTRUM
2023;11013A01-;52883.0;MUSSENBURG
2023;11013A02-;43401.0;BUIZEGEM
2023;11013A03-;59163.0;POSDIJK
2023;11013A040;51158.0;BOERENLEGER
2023;11013A050;41903.0;GRIJPEGEM
2023;11013A090;;HOF TER LINDEN
2023;11013A101;54286.0;EEKHOF - ST.JOZEF
2023;11013A11-;48375.0;ELSDONK
2023;11013A12-;76169.0;VERBRANDE HOEVE
2023;11013A132;52838.0;MOLENVELD
2023;11013A142;53946.0;AAN DE HOEVE
2023;11013A181;;MOLENVELD-ZUID
2023;11013A19-;43759.0;DRIE EIKEN
2023;11013A20-;46070.0;TER BEKE
2023;11013A21-;51548.0;ROZENHOF
2023;11013ZZZZ;22537.0;NON LOCALISABLE DANS UN SECTEUR
2023;11016A000;38945.0;ESSEN-CENTRUM
2023;11016A010;37533.0;HEUVEL
2023;11016A021;36304.0;KLOOSTERSTRAAT-OOST
2023;11016A042;38497.0;HONDSBERG
2023;11016A052;46026.0;DE VENNEN - DE WERF
2023;11016A091;46521.0;SPIJKER - ZANDSTRAAT
2023;11016A101;42056.0;WILDERT-OOST
2023;11016A112;48260.0;WILDERT-WEST
2023;11016A180;53885.0;VISSENHEUVEL - ZILVEREN HOEK
2023;11016A191;47239.0;WILDVEN
2023;11016A1AJ;42701.0;WILDERT WEEKENDZONE-OOST
2023;11016A200;42984.0;HORENDONK
2023;11016A262;35777.0;HORENDONK-WEEKENDZONE
2023;11016A273;;INDUSTRIEZONE
2023;11016A281;47496.0;STEENPAAL - GROTE HORENDONK
2023;11016A291;43663.0;SCHANKER - SCHAM
2023;11016A300;41738.0;ESSEN - HOEK
2023;11016A391;45766.0;NOORDENEIND - ROUWMOERHOEF - WATERWINNING
2023;11016A3AJ;42290.0;WILDERT - WEEKENDZONE-WEST
2023;11016A401;32356.0;STATION
2023;11016A412;40854.0;VELDWEG
2023;11016A501;47700.0;HEIKANT
2023;11016A592;39335.0;PAARDENHOEK-WILDERTSE DUINTJES
2023;11016A60-;;KALMTHOUTSE HOEK
2023;11016A691;50984.0;MOLENWIJK - VOORTSE HOEVE
2023;11016ZZZZ;;NON LOCALISABLE DANS UN SECTEUR
2023;11018A000;45435.0;HEMIKSEM-DORP
2023;11018A010;46007.0;HOOFDBOS
2023;11018A021;39217.0;HEMIKSEM-CENTRUM
2023;11018A030;53261.0;VARENVELDEN
2023;11018A042;66976.0;KALLEBEEK
2023;11018A054;41237.0;BOUWERIJVELDEN
2023;11018A070;;HERBEKE - TERLOCHT
2023;11018A090;;KASTEEL
2023;11018A101;36624.0;HEUVELSTRAAT
2023;11018A111;36786.0;KERKENEINDE
2023;11018A122;46041.0;SINT-BERNARD
2023;11018A132;51331.0;KERKE BOS
2023;11018A143;38210.0;SCHELSE BOS
2023;11018A170;45916.0;NIJVERHEIDSZONE-OOST
2023;11018A1MJ;50557.0;NIJVERHEIDSZONE - SCHELDE-Z.
2023;11018ZZZZ;;NON LOCALISABLE DANS UN SECTEUR
2023;11021A00-;47287.0;HOVE-CENTRUM
2023;11021A01-;61486.0;GEELHAND
2023;11021A02-;52227.0;KLEINE MIJL
2023;11021A03-;51222.0;GRENS EDEGEM
2023;11021A04-;70530.0;RATTENNEST
2023;11021A052;55353.0;FRUITHOUT-ZUID
2023;11021A062;64827.0;VELDKANT
2023;11021A081;;FRUITHOUT
2023;11021A091;;VELDKANT-VERSPREIDE BEWONING
2023;11021A19-;56683.0;HOOFSE HOEK
2023;11021ZZZZ;;NON LOCALISABLE DANS UN SECTEUR
2023;11022A001;38281.0;KALMTHOUT-CENTRUM-OOST
2023;11022A012;56739.0;KALMTHOUT-CENTRUM-WEST
2023;11022A02-;50855.0;KIJKUIT-WEST
2023;11022A032;49801.0;BEZEMHEIDE
2023;11022A080;38397.0;KALMTHOUT-VERSPR. BEW.-OOST
2023;11022A091;;VOGELENZANG
2023;11022A10-;42266.0;KALMTHOUT-DORP
2023;11022A11-;48122.0;HEUVEL
2023;11022A120;47704.0;ACHT ZALIGHEDEN
2023;11022A132;59787.0;MERBORETUM-NOORD
2023;11022A181;74503.0;NATUURRESERVAAT
2023;11022A19-;57692.0;DE GREEF
2023;11022A201;36571.0;OUD-HEIDE
